Ticker,Sector,Market Cap,Annual Return (%)
CUMMINSIND.NS,Industrials,777380823040,30.75039189636859
VOLTAS.NS,Industrials,481967079424,41.692823358879075
ADANIENSOL.NS,Utilities,949551759360,-23.720143574713514
MEDANTA.NS,Healthcare,281250889728,-6.85790309859351
IIFL.NS,Financial Services,159561662464,-38.241845460853796
M&MFIN.NS,Financial Services,330996154368,0.4368768621524577
BALKRISIND.NS,Consumer Cyclical,512715325440,-1.7351862103400784
HINDPETRO.NS,Energy,750801321984,23.8224662029201
GESHIP.NS,Industrials,133936873472,-0.6345672356179999
SPARC.NS,Healthcare,55493107712,-54.65446686816876
GMRAIRPORT.NS,Industrials,754862850048,-5.561425699067235
BHEL.NS,Industrials,697109643264,-4.545889762129618
BBTC.NS,Consumer Defensive,150853746688,34.6265131016642
ATUL.NS,Basic Materials,192758415360,2.2051091803146905
SUZLON.NS,Industrials,717370687488,27.52427170532612
CENTRALBK.NS,Financial Services,437432549376,-8.131265649126574
POWERINDIA.NS,Technology,484256940032,101.20415000406378
CAMPUS.NS,Consumer Cyclical,82655969280,0.594687298312313
MAXHEALTH.NS,Healthcare,1026328297472,43.48780880113567
IOB.NS,Financial Services,926973755392,6.492946206306294
SJVN.NS,Utilities,375138713600,-14.416887108783927
ACI.NS,Basic Materials,69828976640,-7.9382255170185045
INDIANB.NS,Financial Services,675163668480,16.075019485456732
SONACOMS.NS,Consumer Cyclical,326288113664,-9.925615291586176
MGL.NS,Utilities,126282473472,-3.257424161262168
HBLENGINE.NS,Industrials,146885738496,N/A
CLEAN.NS,Basic Materials,147572572160,-3.6111768844485526
REDINGTON.NS,Technology,174554497024,30.796838539060523
IRCON.NS,Industrials,193228996608,-13.73564959289525
DEEPAKNTR.NS,Basic Materials,312687755264,0.6262319373894432
ZOMATO.NS,Consumer Cyclical,1956220895232,58.29663064195698
APLLTD.NS,Healthcare,186715209728,-2.118324085415224
CAPLIPOINT.NS,Healthcare,163117301760,45.485001812394785
BPCL.NS,Energy,1144498814976,14.115043520545356
RRKABEL.NS,Industrials,141210632192,-13.62163245580945
CENTURYPLY.NS,Basic Materials,177549557760,1.0607022263531718
3MINDIA.NS,Industrials,328252063744,-14.416310865683691
ADANIENT.NS,Energy,2675398934528,-20.231663940748355
SUVENPHAR.NS,Healthcare,255952502784,46.566441862980156
RCF.NS,Basic Materials,91668480000,-5.915860604825884
PPLPHARMA.NS,Healthcare,307586400256,62.29592753516773
ZYDUSLIFE.NS,Healthcare,963565846528,27.590160313555256
GPIL.NS,Basic Materials,118575783936,26.93770935820934
M&M.NS,Consumer Cyclical,3359382700032,73.3254645160043
HDFCAMC.NS,Financial Services,828941795328,14.869186568939252
KNRCON.NS,Industrials,82992455680,12.372019244177945
MRPL.NS,Energy,234235363328,-20.99870078048821
TBOTEK.NS,Consumer Cyclical,169727377408,13.61373423341703
